county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily,log_total_permits,log_single_family,log_multifamily,county_id,time_id,time_trend
Ca Orange,California,2019,11,2019-11-01,1,0,0,728,301,854,6.591673732008658,5.71042701737487,6.75110146893676,California_Ca Orange,2019-11,1.8316221765913758
Ca Orange,California,2019,12,2019-12-01,1,0,0,1555,271,2568,7.349873704738337,5.605802066295998,7.851271997109883,California_Ca Orange,2019-12,1.9137577002053388
Ca Orange,California,2020,1,2020-01-01,1,1,1,270,201,138,5.602118820879701,5.308267697401205,4.9344739331306915,California_Ca Orange,2020-01,1.998631074606434
Ca Orange,California,2020,2,2020-02-01,1,1,1,458,343,230,6.129050210060545,5.840641657373398,5.442417710521793,California_Ca Orange,2020-02,2.083504449007529
Ca Orange,California,2020,3,2020-03-01,1,1,1,640,294,692,6.46302945692067,5.68697535633982,6.541029999189903,California_Ca Orange,2020-03,2.16290212183436
Ca Orange,California,2020,4,2020-04-01,1,1,1,407,95,624,6.0112671744041615,4.564348191467836,6.437751649736401,California_Ca Orange,2020-04,2.2477754962354553
Ca Orange,California,2020,5,2020-05-01,1,1,1,621,164,914,6.432940092739179,5.10594547390058,6.818924065275521,California_Ca Orange,2020-05,2.329911019849418
Ca Orange,California,2020,6,2020-06-01,1,1,1,382,292,180,5.948034989180646,5.680172609017068,5.198497031265826,California_Ca Orange,2020-06,2.414784394250513
Ca Orange,California,2020,7,2020-07-01,1,1,1,365,264,202,5.902633333401366,5.579729825986222,5.313205979041787,California_Ca Orange,2020-07,2.4969199178644765
Ca Orange,California,2020,8,2020-08-01,1,1,1,344,244,200,5.84354441703136,5.501258210544727,5.303304908059076,California_Ca Orange,2020-08,2.5817932922655715
Ca Orange,California,2020,9,2020-09-01,1,1,1,426,258,336,6.056784013228625,5.556828061699537,5.820082930352362,California_Ca Orange,2020-09,2.6666666666666665
Ca Orange,California,2020,10,2020-10-01,1,1,1,1016,304,1424,6.92461239604856,5.720311776607412,7.261927092702751,California_Ca Orange,2020-10,2.74880219028063
Ca Orange,California,2020,11,2020-11-01,1,1,1,713,334,758,6.570882962339584,5.814130531825066,6.63200177739563,California_Ca Orange,2020-11,2.833675564681725
Ca Orange,California,2020,12,2020-12-01,1,1,1,732,218,1028,6.597145701886651,5.389071729816501,6.9363427358340495,California_Ca Orange,2020-12,2.915811088295688
Ca Orange,California,2021,1,2021-01-01,1,1,1,981,221,1520,6.889591308354466,5.402677381872279,7.327123292259293,California_Ca Orange,2021-01,3.0006844626967832
Ca Orange,California,2021,2,2021-02-01,1,1,1,802,275,1054,6.688354713946762,5.62040086571715,6.961296045910167,California_Ca Orange,2021-02,3.0855578370978782
Ca Orange,California,2021,3,2021-03-01,1,1,1,1572,425,2294,7.360739903058278,6.054439346269371,7.738488122494646,California_Ca Orange,2021-03,3.162217659137577
Ca Orange,California,2021,4,2021-04-01,1,1,1,483,290,386,6.182084906716632,5.673323267171493,5.958424693029782,California_Ca Orange,2021-04,3.247091033538672
Ca Orange,California,2021,5,2021-05-01,1,1,1,465,279,372,6.1441856341256456,5.634789603169249,5.921578419643816,California_Ca Orange,2021-05,3.3292265571526354
Ca Orange,California,2021,6,2021-06-01,1,1,1,322,257,130,5.777652323222656,5.552959584921617,4.875197323201151,California_Ca Orange,2021-06,3.4140999315537304
Ca Orange,California,2021,7,2021-07-01,1,1,1,705,271,868,6.559615237493242,5.605802066295998,6.767343125265392,California_Ca Orange,2021-07,3.4962354551676933
Ca Orange,California,2021,8,2021-08-01,1,1,1,287,221,132,5.662960480135946,5.402677381872279,4.890349128221754,California_Ca Orange,2021-08,3.5811088295687883
Ca Orange,California,2021,9,2021-09-01,1,1,1,600,401,398,6.398594934535208,5.996452088619021,5.988961416889864,California_Ca Orange,2021-09,3.6659822039698837
Ca Orange,California,2021,10,2021-10-01,1,1,1,547,447,200,6.306275286948016,6.104793232414985,5.303304908059076,California_Ca Orange,2021-10,3.7481177275838466
Ca Orange,California,2021,11,2021-11-01,1,1,1,613,239,748,6.419994928147142,5.480638923341991,6.618738983517219,California_Ca Orange,2021-11,3.8329911019849416
Ca Orange,California,2021,12,2021-12-01,1,1,1,630,193,874,6.447305862541213,5.267858159063328,6.774223886357614,California_Ca Orange,2021-12,3.915126625598905
Ca Orange,California,2022,1,2022-01-01,1,1,1,259,231,56,5.560681631015528,5.44673737166631,4.04305126783455,California_Ca Orange,2022-01,4
Ca Orange,California,2022,2,2022-02-01,1,1,1,443,290,306,6.095824562432225,5.673323267171493,5.726847747587197,California_Ca Orange,2022-02,4.084873374401095
Ca Orange,California,2022,3,2022-03-01,1,1,1,568,376,384,6.343880434126331,5.932245187448011,5.953243334287785,California_Ca Orange,2022-03,4.161533196440794
Ca Orange,California,2022,4,2022-04-01,1,1,1,400,308,184,5.993961427306569,5.733341276897746,5.220355825078324,California_Ca Orange,2022-04,4.246406570841889
Ca Orange,California,2022,5,2022-05-01,1,1,1,691,292,798,6.539585955617669,5.680172609017068,6.683360945766275,California_Ca Orange,2022-05,4.328542094455853
Ca Orange,California,2022,6,2022-06-01,1,1,1,733,263,940,6.598509028614515,5.575949103146316,6.846943139585379,California_Ca Orange,2022-06,4.413415468856948
Ca Orange,California,2022,7,2022-07-01,1,1,1,287,196,182,5.662960480135946,5.2832037287379885,5.209486152841421,California_Ca Orange,2022-07,4.4955509924709105
Ca Orange,California,2022,8,2022-08-01,1,1,1,385,270,230,5.955837369464831,5.602118820879701,5.442417710521793,California_Ca Orange,2022-08,4.5804243668720055
Ca Orange,California,2022,9,2022-09-01,1,1,1,998,221,1554,6.906754778648554,5.402677381872279,7.349230824613334,California_Ca Orange,2022-09,4.6652977412731005
Ca Orange,California,2022,10,2022-10-01,1,1,1,490,178,624,6.19644412779452,5.187385805840755,6.437751649736401,California_Ca Orange,2022-10,4.747433264887063
Ca Orange,California,2022,11,2022-11-01,1,1,1,269,165,208,5.598421958998375,5.111987788356544,5.342334251964811,California_Ca Orange,2022-11,4.832306639288158
Ca Orange,California,2022,12,2022-12-01,1,1,1,687,160,1054,6.5337888379333435,5.081404364984463,6.961296045910167,California_Ca Orange,2022-12,4.914442162902122
Ca Sacramento,California,2018,1,2018-01-01,1,0,0,490,275,430,6.19644412779452,5.62040086571715,6.066108090103747,California_Ca Sacramento,2018-01,0
Ca Sacramento,California,2018,2,2018-02-01,1,0,0,195,183,24,5.278114659230517,5.214935757608986,3.2188758248682006,California_Ca Sacramento,2018-02,0.08487337440109514
Ca Sacramento,California,2018,3,2018-03-01,1,0,0,417,373,88,6.035481432524756,5.924255797414532,4.48863636973214,California_Ca Sacramento,2018-03,0.16153319644079397
Ca Sacramento,California,2018,4,2018-04-01,1,0,0,272,272,0,5.60947179518496,5.60947179518496,0,California_Ca Sacramento,2018-04,0.2464065708418891
Ca Sacramento,California,2018,5,2018-05-01,1,0,0,755,338,834,6.628041376179533,5.82600010738045,6.727431724850855,California_Ca Sacramento,2018-05,0.32854209445585214
Ca Sacramento,California,2018,6,2018-06-01,1,0,0,592,477,230,6.385194398997726,6.169610732491456,5.442417710521793,California_Ca Sacramento,2018-06,0.4134154688569473
Ca Sacramento,California,2018,7,2018-07-01,1,0,0,440,342,196,6.089044875446846,5.8377304471659395,5.2832037287379885,California_Ca Sacramento,2018-07,0.49555099247091033
Ca Sacramento,California,2018,8,2018-08-01,1,0,0,404,322,164,6.003887067106539,5.777652323222656,5.10594547390058,California_Ca Sacramento,2018-08,0.5804243668720055
Ca Sacramento,California,2018,9,2018-09-01,1,0,0,241,223,36,5.488937726156687,5.4116460518550396,3.6109179126442243,California_Ca Sacramento,2018-09,0.6652977412731006
Ca Sacramento,California,2018,10,2018-10-01,1,0,0,366,290,152,5.905361848054571,5.673323267171493,5.030437921392435,California_Ca Sacramento,2018-10,0.7474332648870636
Ca Sacramento,California,2018,11,2018-11-01,1,0,0,266,254,24,5.58724865840025,5.541263545158426,3.2188758248682006,California_Ca Sacramento,2018-11,0.8323066392881588
Ca Sacramento,California,2018,12,2018-12-01,1,0,0,229,229,0,5.438079308923196,5.438079308923196,0,California_Ca Sacramento,2018-12,0.9144421629021219
Ca Sacramento,California,2019,1,2019-01-01,1,0,0,391,230,322,5.971261839790462,5.442417710521793,5.777652323222656,California_Ca Sacramento,2019-01,0.999315537303217
Ca Sacramento,California,2019,2,2019-02-01,1,0,0,300,185,230,5.707110264748875,5.225746673713202,5.442417710521793,California_Ca Sacramento,2019-02,1.0841889117043122
Ca Sacramento,California,2019,3,2019-03-01,1,0,0,426,410,32,6.056784013228625,6.018593214496234,3.4965075614664802,California_Ca Sacramento,2019-03,1.160848733744011
Ca Sacramento,California,2019,4,2019-04-01,1,0,0,549,365,368,6.309918278226516,5.902633333401366,5.910796644040527,California_Ca Sacramento,2019-04,1.2457221081451062
Ca Sacramento,California,2019,5,2019-05-01,1,0,0,413,377,72,6.025865973825314,5.934894195619588,4.290459441148391,California_Ca Sacramento,2019-05,1.3278576317590691
Ca Sacramento,California,2019,6,2019-06-01,1,0,0,439,389,100,6.0867747269123065,5.966146739123692,4.61512051684126,California_Ca Sacramento,2019-06,1.4127310061601643
Ca Sacramento,California,2019,7,2019-07-01,1,0,0,601,275,652,6.400257445308821,5.62040086571715,6.481577129276431,California_Ca Sacramento,2019-07,1.4948665297741273
Ca Sacramento,California,2019,8,2019-08-01,1,0,0,340,323,34,5.831882477283517,5.780743515792329,3.5553480614894135,California_Ca Sacramento,2019-08,1.5797399041752225
Ca Sacramento,California,2019,9,2019-09-01,1,0,0,300,288,24,5.707110264748875,5.666426688112432,3.2188758248682006,California_Ca Sacramento,2019-09,1.6646132785763177
Ca Sacramento,California,2019,10,2019-10-01,1,0,0,1024,416,1216,6.932447891572509,6.0330862217988015,7.104144092987527,California_Ca Sacramento,2019-10,1.7467488021902806
Ca Sacramento,California,2019,11,2019-11-01,1,0,0,466,379,174,6.1463292576688975,5.940171252720432,5.1647859739235145,California_Ca Sacramento,2019-11,1.8316221765913758
Ca Sacramento,California,2019,12,2019-12-01,1,0,0,291,260,62,5.676753802268282,5.564520407322694,4.143134726391533,California_Ca Sacramento,2019-12,1.9137577002053388
Ca Sacramento,California,2020,1,2020-01-01,1,1,1,464,283,362,6.142037405587356,5.648974238161206,5.8944028342648505,California_Ca Sacramento,2020-01,1.998631074606434
Ca Sacramento,California,2020,2,2020-02-01,1,1,1,391,349,84,5.971261839790462,5.857933154483459,4.442651256490317,California_Ca Sacramento,2020-02,2.083504449007529
Ca Sacramento,California,2020,3,2020-03-01,1,1,1,402,279,246,5.998936561946683,5.634789603169249,5.5093883366279774,California_Ca Sacramento,2020-03,2.16290212183436
Ca Sacramento,California,2020,4,2020-04-01,1,1,1,129,118,22,4.867534450455582,4.77912349311153,3.1354942159291497,California_Ca Sacramento,2020-04,2.2477754962354553
Ca Sacramento,California,2020,5,2020-05-01,1,1,1,818,161,1314,6.70808408385307,5.087596335232384,7.181591944611865,California_Ca Sacramento,2020-05,2.329911019849418
Ca Sacramento,California,2020,6,2020-06-01,1,1,1,865,306,1118,6.763884908562435,5.726847747587197,7.020190708311925,California_Ca Sacramento,2020-06,2.414784394250513
Ca Sacramento,California,2020,7,2020-07-01,1,1,1,306,292,28,5.726847747587197,5.680172609017068,3.367295829986474,California_Ca Sacramento,2020-07,2.4969199178644765
Ca Sacramento,California,2020,8,2020-08-01,1,1,1,351,261,180,5.863631175598097,5.568344503761097,5.198497031265826,California_Ca Sacramento,2020-08,2.5817932922655715
Ca Sacramento,California,2020,9,2020-09-01,1,1,1,495,351,288,6.206575926724928,5.863631175598097,5.666426688112432,California_Ca Sacramento,2020-09,2.6666666666666665
Ca Sacramento,California,2020,10,2020-10-01,1,1,1,405,342,126,6.0063531596017325,5.8377304471659395,4.844187086458591,California_Ca Sacramento,2020-10,2.74880219028063
Ca Sacramento,California,2020,11,2020-11-01,1,1,1,427,248,358,6.059123195581797,5.517452896464707,5.883322388488279,California_Ca Sacramento,2020-11,2.833675564681725
Ca Sacramento,California,2020,12,2020-12-01,1,1,1,1055,454,1202,6.962243464266207,6.12029741895095,7.0925737159746784,California_Ca Sacramento,2020-12,2.915811088295688
Ca Sacramento,California,2021,1,2021-01-01,1,1,1,301,225,152,5.71042701737487,5.420534999272286,5.030437921392435,California_Ca Sacramento,2021-01,3.0006844626967832
Ca Sacramento,California,2021,2,2021-02-01,1,1,1,467,467,0,6.148468295917647,6.148468295917647,0,California_Ca Sacramento,2021-02,3.0855578370978782
Ca Sacramento,California,2021,3,2021-03-01,1,1,1,664,376,576,6.499787040655854,5.932245187448011,6.3578422665081,California_Ca Sacramento,2021-03,3.162217659137577
Ca Sacramento,California,2021,4,2021-04-01,1,1,1,703,379,648,6.556778356158042,5.940171252720432,6.47543271670409,California_Ca Sacramento,2021-04,3.247091033538672
Ca Sacramento,California,2021,5,2021-05-01,1,1,1,513,451,124,6.2422232654551655,6.113682179832232,4.8283137373023015,California_Ca Sacramento,2021-05,3.3292265571526354
Ca Sacramento,California,2021,6,2021-06-01,1,1,1,725,412,626,6.587550014824796,6.023447592961033,6.440946540632921,California_Ca Sacramento,2021-06,3.4140999315537304
Ca Sacramento,California,2021,7,2021-07-01,1,1,1,266,262,8,5.58724865840025,5.572154032177765,2.1972245773362196,California_Ca Sacramento,2021-07,3.4962354551676933
Ca Sacramento,California,2021,8,2021-08-01,1,1,1,529,280,498,6.272877006546167,5.638354669333745,6.212606095751519,California_Ca Sacramento,2021-08,3.5811088295687883
Ca Sacramento,California,2021,9,2021-09-01,1,1,1,225,217,16,5.420534999272286,5.384495062789089,2.833213344056216,California_Ca Sacramento,2021-09,3.6659822039698837
Ca Sacramento,California,2021,10,2021-10-01,1,1,1,357,315,84,5.8805329864007,5.755742213586912,4.442651256490317,California_Ca Sacramento,2021-10,3.7481177275838466
Ca Sacramento,California,2021,11,2021-11-01,1,1,1,472,299,346,6.159095388491933,5.703782474656201,5.849324779946859,California_Ca Sacramento,2021-11,3.8329911019849416
Ca Sacramento,California,2021,12,2021-12-01,1,1,1,808,268,1080,6.695798917058491,5.594711379601839,6.985641817639208,California_Ca Sacramento,2021-12,3.915126625598905
Ca Sacramento,California,2022,1,2022-01-01,1,1,1,389,295,188,5.966146739123692,5.69035945432406,5.241747015059643,California_Ca Sacramento,2022-01,4
Ca Sacramento,California,2022,2,2022-02-01,1,1,1,515,329,372,6.246106765481563,5.799092654460526,5.921578419643816,California_Ca Sacramento,2022-02,4.084873374401095
Ca Sacramento,California,2022,3,2022-03-01,1,1,1,628,465,326,6.444131256700441,6.1441856341256456,5.7899601708972535,California_Ca Sacramento,2022-03,4.161533196440794
Ca Sacramento,California,2022,4,2022-04-01,1,1,1,582,387,390,6.368187186350492,5.961005339623274,5.968707559985366,California_Ca Sacramento,2022-04,4.246406570841889
Ca Sacramento,California,2022,5,2022-05-01,1,1,1,387,373,28,5.961005339623274,5.924255797414532,3.367295829986474,California_Ca Sacramento,2022-05,4.328542094455853
Ca Sacramento,California,2022,6,2022-06-01,1,1,1,758,394,728,6.63200177739563,5.978885764901122,6.591673732008658,California_Ca Sacramento,2022-06,4.413415468856948
Ca Sacramento,California,2022,7,2022-07-01,1,1,1,212,208,8,5.3612921657094255,5.342334251964811,2.1972245773362196,California_Ca Sacramento,2022-07,4.4955509924709105
Ca Sacramento,California,2022,8,2022-08-01,1,1,1,591,263,656,6.3835066348840055,5.575949103146316,6.48768401848461,California_Ca Sacramento,2022-08,4.5804243668720055
Ca Sacramento,California,2022,9,2022-09-01,1,1,1,372,273,198,5.921578419643816,5.6131281063880705,5.293304824724492,California_Ca Sacramento,2022-09,4.6652977412731005
Ca Sacramento,California,2022,10,2022-10-01,1,1,1,269,265,8,5.598421958998375,5.583496308781699,2.1972245773362196,California_Ca Sacramento,2022-10,4.747433264887063
Ca Sacramento,California,2022,11,2022-11-01,1,1,1,198,192,12,5.293304824724492,5.262690188904886,2.5649493574615367,California_Ca Sacramento,2022-11,4.832306639288158
Ca Sacramento,California,2022,12,2022-12-01,1,1,1,290,191,198,5.673323267171493,5.2574953720277815,5.293304824724492,California_Ca Sacramento,2022-12,4.914442162902122
Ca Sandiego,California,2018,1,2018-01-01,1,0,0,1265,420,1690,7.143617602704121,6.042632833682381,7.43307534889858,California_Ca Sandiego,2018-01,0
Ca Sandiego,California,2018,2,2018-02-01,1,0,0,596,210,772,6.391917113392602,5.351858133476067,6.650279048587422,California_Ca Sandiego,2018-02,0.08487337440109514
Ca Sandiego,California,2018,3,2018-03-01,1,0,0,912,307,1210,6.816735880594968,5.730099782973574,7.099201743553092,California_Ca Sandiego,2018-03,0.16153319644079397
Ca Sandiego,California,2018,4,2018-04-01,1,0,0,953,264,1378,6.860663671448287,5.579729825986222,7.229113877793302,California_Ca Sandiego,2018-04,0.2464065708418891
Ca Sandiego,California,2018,5,2018-05-01,1,0,0,1775,643,2264,7.4821189235521155,6.467698726104354,7.725330037917135,California_Ca Sandiego,2018-05,0.32854209445585214
Ca Sandiego,California,2018,6,2018-06-01,1,0,0,1455,297,2316,7.283448228756631,5.697093486505405,7.748028524432376,California_Ca Sandiego,2018-06,0.4134154688569473
Ca Sandiego,California,2018,7,2018-07-01,1,0,0,384,246,276,5.953243334287785,5.5093883366279774,5.6240175061873385,California_Ca Sandiego,2018-07,0.49555099247091033
Ca Sandiego,California,2018,8,2018-08-01,1,0,0,504,308,392,6.22455842927536,5.733341276897746,5.973809611869261,California_Ca Sandiego,2018-08,0.5804243668720055
Ca Sandiego,California,2018,9,2018-09-01,1,0,0,689,215,948,6.536691597591305,5.375278407684165,6.855408798609928,California_Ca Sandiego,2018-09,0.6652977412731006
Ca Sandiego,California,2018,10,2018-10-01,1,0,0,449,236,426,6.1092475827643655,5.4680601411351315,6.056784013228625,California_Ca Sandiego,2018-10,0.7474332648870636
Ca Sandiego,California,2018,11,2018-11-01,1,0,0,273,198,150,5.6131281063880705,5.293304824724492,5.017279836814924,California_Ca Sandiego,2018-11,0.8323066392881588
Ca Sandiego,California,2018,12,2018-12-01,1,0,0,533,166,734,6.280395838960195,5.117993812416755,6.5998704992128365,California_Ca Sandiego,2018-12,0.9144421629021219
Ca Sandiego,California,2019,1,2019-01-01,1,0,0,344,248,192,5.84354441703136,5.517452896464707,5.262690188904886,California_Ca Sandiego,2019-01,0.999315537303217
Ca Sandiego,California,2019,2,2019-02-01,1,0,0,272,191,162,5.60947179518496,5.2574953720277815,5.093750200806762,California_Ca Sandiego,2019-02,1.0841889117043122
Ca Sandiego,California,2019,3,2019-03-01,1,0,0,519,257,524,6.253828811575473,5.552959584921617,6.263398262591624,California_Ca Sandiego,2019-03,1.160848733744011
Ca Sandiego,California,2019,4,2019-04-01,1,0,0,902,317,1170,6.805722553416985,5.762051382780177,7.065613363597717,California_Ca Sandiego,2019-04,1.2457221081451062
Ca Sandiego,California,2019,5,2019-05-01,1,0,0,1324,244,2160,7.1891677384203225,5.501258210544727,7.6783263565068856,California_Ca Sandiego,2019-05,1.3278576317590691
Ca Sandiego,California,2019,6,2019-06-01,1,0,0,716,293,846,6.57507584059962,5.683579767338681,6.741700694652055,California_Ca Sandiego,2019-06,1.4127310061601643
Ca Sandiego,California,2019,7,2019-07-01,1,0,0,424,294,260,6.052089168924417,5.68697535633982,5.564520407322694,California_Ca Sandiego,2019-07,1.4948665297741273
Ca Sandiego,California,2019,8,2019-08-01,1,0,0,919,242,1354,6.824373670043086,5.493061443340548,7.2115567333138015,California_Ca Sandiego,2019-08,1.5797399041752225
Ca Sandiego,California,2019,9,2019-09-01,1,0,0,976,201,1550,6.884486652042782,5.308267697401205,7.346655163176539,California_Ca Sandiego,2019-09,1.6646132785763177
Ca Sandiego,California,2019,10,2019-10-01,1,0,0,734,309,850,6.5998704992128365,5.736572297479192,6.7464121285733745,California_Ca Sandiego,2019-10,1.7467488021902806
Ca Sandiego,California,2019,11,2019-11-01,1,0,0,441,230,422,6.091309882077698,5.442417710521793,6.0473721790462776,California_Ca Sandiego,2019-11,1.8316221765913758
Ca Sandiego,California,2019,12,2019-12-01,1,0,0,511,197,628,6.238324625039508,5.288267030694535,6.444131256700441,California_Ca Sandiego,2019-12,1.9137577002053388
Ca Sandiego,California,2020,1,2020-01-01,1,1,1,624,262,724,6.437751649736401,5.572154032177765,6.586171654854675,California_Ca Sandiego,2020-01,1.998631074606434
Ca Sandiego,California,2020,2,2020-02-01,1,1,1,467,371,192,6.148468295917647,5.918893854273146,5.262690188904886,California_Ca Sandiego,2020-02,2.083504449007529
Ca Sandiego,California,2020,3,2020-03-01,1,1,1,859,200,1318,6.756932389247553,5.303304908059076,7.1846291527173145,California_Ca Sandiego,2020-03,2.16290212183436
Ca Sandiego,California,2020,4,2020-04-01,1,1,1,674,156,1036,6.51471269087253,5.056245805348308,6.9440872082295275,California_Ca Sandiego,2020-04,2.2477754962354553
Ca Sandiego,California,2020,5,2020-05-01,1,1,1,621,136,970,6.432940092739179,4.919980925828125,6.878326468291325,California_Ca Sandiego,2020-05,2.329911019849418
Ca Sandiego,California,2020,6,2020-06-01,1,1,1,865,342,1046,6.763884908562435,5.8377304471659395,6.953684210870537,California_Ca Sandiego,2020-06,2.414784394250513
Ca Sandiego,California,2020,7,2020-07-01,1,1,1,752,249,1006,6.6240652277998935,5.521460917862246,6.914730892718563,California_Ca Sandiego,2020-07,2.4969199178644765
Ca Sandiego,California,2020,8,2020-08-01,1,1,1,990,257,1466,6.898714534329988,5.552959584921617,7.2909747781429814,California_Ca Sandiego,2020-08,2.5817932922655715
Ca Sandiego,California,2020,9,2020-09-01,1,1,1,547,238,618,6.306275286948016,5.476463551931511,6.428105272684596,California_Ca Sandiego,2020-09,2.6666666666666665
Ca Sandiego,California,2020,10,2020-10-01,1,1,1,898,266,1264,6.80128303447162,5.58724865840025,7.142827401161621,California_Ca Sandiego,2020-10,2.74880219028063
Ca Sandiego,California,2020,11,2020-11-01,1,1,1,602,146,912,6.401917196727186,4.990432586778736,6.816735880594968,California_Ca Sandiego,2020-11,2.833675564681725
Ca Sandiego,California,2020,12,2020-12-01,1,1,1,1548,275,2546,7.3453648404168685,5.62040086571715,7.842671474979457,California_Ca Sandiego,2020-12,2.915811088295688
Ca Sandiego,California,2021,1,2021-01-01,1,1,1,978,226,1504,6.88653164253051,5.424950017481403,7.316548177182976,California_Ca Sandiego,2021-01,3.0006844626967832
Ca Sandiego,California,2021,2,2021-02-01,1,1,1,750,278,944,6.621405651764134,5.631211781821365,6.851184927493743,California_Ca Sandiego,2021-02,3.0855578370978782
Ca Sandiego,California,2021,3,2021-03-01,1,1,1,894,294,1200,6.796823718274855,5.68697535633982,7.0909098220799835,California_Ca Sandiego,2021-03,3.162217659137577
Ca Sandiego,California,2021,4,2021-04-01,1,1,1,540,267,546,6.293419278846481,5.5909869805108565,6.304448802421981,California_Ca Sandiego,2021-04,3.247091033538672
Ca Sandiego,California,2021,5,2021-05-01,1,1,1,391,196,390,5.971261839790462,5.2832037287379885,5.968707559985366,California_Ca Sandiego,2021-05,3.3292265571526354
Ca Sandiego,California,2021,6,2021-06-01,1,1,1,872,288,1168,6.771935555839602,5.666426688112432,7.063903961472068,California_Ca Sandiego,2021-06,3.4140999315537304
Ca Sandiego,California,2021,7,2021-07-01,1,1,1,684,235,898,6.529418838262226,5.4638318050256105,6.80128303447162,California_Ca Sandiego,2021-07,3.4962354551676933
Ca Sandiego,California,2021,8,2021-08-01,1,1,1,1202,332,1740,7.0925737159746784,5.808142489980444,7.462214939768189,California_Ca Sandiego,2021-08,3.5811088295687883
Ca Sandiego,California,2021,9,2021-09-01,1,1,1,662,286,752,6.4967749901858625,5.659482215759621,6.6240652277998935,California_Ca Sandiego,2021-09,3.6659822039698837
Ca Sandiego,California,2021,10,2021-10-01,1,1,1,875,295,1160,6.775366090936392,5.69035945432406,7.057036981697891,California_Ca Sandiego,2021-10,3.7481177275838466
